Number,,Labels,Title,Date,URL
1947,Validation Layers,VUID,Support KHR_storage_buffer_storage_class in SC,2017-07-18,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1947
1880,Validation Layers,enhancement,Add a way to name objects for validation messages,2017-06-16,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1880
1871,Validation Layers,VUID,SC: correctly assign locations in complex cases,2017-06-13,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1871
1860,Validation Layers,enhancement,request: more detailed error messages for image layout validation,2017-06-12,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1860
1817,Validation Layers,enhancement,Tests: make spirv assembler available,2017-05-25,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1817
1793,Validation Layers,bug,Setting VK_ICD_FILENAMES causes environment variable path test failure,2017-05-19,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1793
1788,Validation Layers,enhancement,Housekeeping: Fold CV DRAW_DATA tracking into CB bound objects mechanism,2017-05-19,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1788
1754,Validation Layers,enhancement,Housekeeping: split up layer_validation_tests.cpp,2017-05-10,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1754
1724,Validation Layers,enhancement,core_validation layer gives obscure layer names,2017-05-01,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1724
1697,Validation Layers,enhancement,Commit source for vulkan_wrapper generator,2017-04-25,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1697
1656,Validation Layers,incomplete,vkCmdResolveImage doesn't validate layouts,2017-04-05,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1656
1612,Validation Layers,enhancement,Best Practices/Assistant/Performance Layer,2017-03-22,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1612
1601,Validation Layers,bug,Render pass area is not inherited to secondary command buffers,2017-03-20,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1601
1580,Validation Layers,VUID,Specialization Constant as array size causes validation error,2017-03-14,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1580
1551,Validation Layers,tests,Build and test failures with latest Android toolchain,2017-03-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1551
1549,Validation Layers,bug,Descriptor type validation doesn't handle OpGroupDecorate,2017-03-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1549
1544,Validation Layers,enhancement,Allow building with MinGW-w64,2017-03-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1544
1534,Validation Layers,enhancement,Refactor MapMemory,2017-03-06,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1534
1510,Validation Layers,bug,Core_validation mishandles attachments that are not touched by any subpass,2017-02-28,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1510
1404,Validation Layers,enhancement,Improve error messages for descriptor mis-matches,2017-01-24,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1404
1307,Loader,"enhancement, loader",_alloca used in a loop - can lead to stack exhaustion,2016-12-23,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1307
1285,Validation Layers,VUID,Scrub semaphore validation,2016-12-19,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1285
1259,Validation Layers,bug,Layers: Resource binding and aliasing checks may be too strict,2016-12-13,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1259
1250,Validation Layers,bug,"Smoketest with validation spews errors on resize (NVIDIA, Linux)",2016-12-09,https://github.com/KhronosGroup/Vulkan-LoaderAndValidationLayers/issues/1250
